"stateName","date","Rt","Rt_0.025","Rt_0.975"
"Alabama",2020-03-08,0,0,0
"Alabama",2020-03-09,0,0,0
"Alabama",2020-03-10,0,0,0
"Alabama",2020-03-11,0,0,0
"Alabama",2020-03-12,0,0,0
"Alabama",2020-03-13,1,1,1
"Alabama",2020-03-14,0.618661446,0.140318275,1.453004125
"Alabama",2020-03-15,1.5708134362,0.52949555,3.238310925
"Alabama",2020-03-16,5.2601174108,3.2291758,7.93148765
"Alabama",2020-03-17,1.3340134069,0.67370855,2.198456
"Alabama",2020-03-18,1.4861083844,0.8157725,2.3836621
"Alabama",2020-03-19,2.9167814441,1.94849,4.10154945
"Alabama",2020-03-20,2.1542095196,1.445742125,3.003668
"Alabama",2020-03-21,1.5725480246,1.027565,2.204336
"Alabama",2020-03-22,1.4555199657,0.975348275,2.036827
"Alabama",2020-03-23,2.0067324661,1.41911,2.661521125
"Alabama",2020-03-24,1.9969159043,1.466346025,2.640345
"Alabama",2020-03-25,5.0085026343,4.184526,5.905526
"Alabama",2020-03-26,2.788524782,2.333091,3.266895
"Alabama",2020-03-27,1.0951657976,0.85712,1.398623
"Alabama",2020-03-28,1.6352953624,1.34976,1.948691225
"Alabama",2020-03-29,1.7958395792,1.524066,2.10777
"Alabama",2020-03-30,0.899284006,0.701263,1.104182025
"Alabama",2020-03-31,1.0761156818,0.860117,1.325636
"Alabama",2020-04-01,0.8937275952,0.693242,1.097773
"Alabama",2020-04-02,2.1355532926,1.853709,2.466035175
"Alabama",2020-04-03,2.7059196272,2.364793,3.058642
"Alabama",2020-04-04,0.9439355422,0.773983,1.12632
"Alabama",2020-04-05,1.1999648767,1.035703,1.403416
"Alabama",2020-04-06,1.4541481967,1.24605975,1.672559
"Alabama",2020-04-07,1.5499427337,1.349241,1.733825
"Alabama",2020-04-08,1.02638771,0.888214,1.167395
"Alabama",2020-04-09,2.4002145292,2.218537,2.630154
"Alabama",2020-04-10,1.2695806624,1.10976,1.470068
"Alabama",2020-04-11,1.3413191603,1.216608,1.491441
"Alabama",2020-04-12,1.6253720147,1.486948,1.774726
"Alabama",2020-04-13,0.7221153314,0.623992,0.811548
"Alabama",2020-04-14,0.9680176554,0.856592,1.12026
"Alabama",2020-04-15,0.545572195,0.464159,0.626336
"Alabama",2020-04-16,1.3109693028,1.173301,1.47484
"Alabama",2020-04-17,1.0319844533,0.937214,1.13502
"Alabama",2020-04-18,0.6513505428,0.553262,0.765172
"Alabama",2020-04-19,0.8555979983,0.738841,0.995665
"Alabama",2020-04-20,0.9495398191,0.848721,1.072959
"Alabama",2020-04-21,1.2026736614,1.094811,1.341918
"Alabama",2020-04-22,1.3639166121,1.215612,1.555086
"Alabama",2020-04-23,1.1089117738,0.989564,1.253967
"Alabama",2020-04-24,0.8828131993,0.754925,1.010041
"Alabama",2020-04-25,0,0,0
"Alabama",2020-04-26,1.8507528516,1.671212,1.989975
"Alabama",2020-04-27,0.4746200558,0.392264,0.552032
"Alabama",2020-04-28,0.9366817047,0.840269,1.042238
"Alabama",2020-04-29,0.7247404956,0.596731,0.833906
