"stateName","date","Rt","Rt_0.025","Rt_0.975"
"Alabama",2020-03-14,0,0,0
"Alabama",2020-03-15,3.0456900482,0.46731905,7.404778875
"Alabama",2020-03-16,3.7850246731,1.514267625,6.882742
"Alabama",2020-03-17,2.5043270198,1.0390008,4.60749125
"Alabama",2020-03-18,2.3124436617,1.072466925,4.09327505
"Alabama",2020-03-19,2.5572345626,1.388583,4.013028925
"Alabama",2020-03-20,2.3418844931,1.34287865,3.642863275
"Alabama",2020-03-21,2.1875815628,1.367575825,3.23758035
"Alabama",2020-03-22,2.0683849929,1.3010313,2.993937625
"Alabama",2020-03-23,1.9546556041,1.269664375,2.750214
"Alabama",2020-03-24,2.0639320889,1.407206,2.872027775
"Alabama",2020-03-25,2.7352933102,1.996055,3.560391325
"Alabama",2020-03-26,2.6909661235,2.041427,3.379849
"Alabama",2020-03-27,2.2635834855,1.799329,2.800053
"Alabama",2020-03-28,2.149389364,1.731808125,2.617542
"Alabama",2020-03-29,2.1159440695,1.666433,2.551141925
"Alabama",2020-03-30,1.8471790964,1.510594,2.20103
"Alabama",2020-03-31,1.7053504755,1.396271,2.016586
"Alabama",2020-04-01,1.3954783171,1.136628,1.687191
"Alabama",2020-04-02,1.3720487041,1.118114,1.599678825
"Alabama",2020-04-03,1.623565435,1.365133,1.894266
"Alabama",2020-04-04,1.4825501513,1.233926,1.751559
"Alabama",2020-04-05,1.4024206967,1.171106,1.628283
"Alabama",2020-04-06,1.4656359825,1.25632,1.692275
"Alabama",2020-04-07,1.5101600335,1.293694,1.725633
"Alabama",2020-04-08,1.5007998911,1.270266,1.723242
"Alabama",2020-04-09,1.5878621705,1.388168,1.81587
"Alabama",2020-04-10,1.4178313975,1.198222,1.598562
"Alabama",2020-04-11,1.4787935367,1.2967,1.676323
"Alabama",2020-04-12,1.5275081668,1.382967,1.712878
"Alabama",2020-04-13,1.3696918728,1.214391,1.540297
"Alabama",2020-04-14,1.3030854946,1.135742,1.457275
"Alabama",2020-04-15,1.2219482445,1.068003,1.3666
"Alabama",2020-04-16,1.0968707859,0.983164,1.288787
"Alabama",2020-04-17,1.0563830011,0.93425835,1.175496
"Alabama",2020-04-18,0.9738013901,0.81954,1.092106
"Alabama",2020-04-19,0.862355872,0.75436,0.974023
"Alabama",2020-04-20,0.9090048654,0.792996,1.00993855
"Alabama",2020-04-21,0.9165161266,0.798484,1.042091
"Alabama",2020-04-22,1.039045536,0.9304,1.158781
"Alabama",2020-04-23,1.0077443362,0.860887,1.142238
"Alabama",2020-04-24,1.0003525551,0.864318,1.12031
"Alabama",2020-04-25,0.8938748981,0.775703,1.039959
"Alabama",2020-04-26,1.0762978309,0.931334,1.262998
"Alabama",2020-04-27,1.0056177641,0.883064,1.149022
"Alabama",2020-04-28,0.9904626434,0.855976,1.136589
"Alabama",2020-04-29,0.9070379257,0.757055,1.036505
"Alabama",2020-04-30,0.8725188164,0.749901,1.015664
"Alabama",2020-05-01,0.9103671102,0.78781,1.041916
"Alabama",2020-05-02,1.1552285477,1.016673,1.288034
"Alabama",2020-05-03,1.0494911151,0.91955,1.196932
"Alabama",2020-05-04,1.1025423127,0.963131,1.265728
"Alabama",2020-05-05,1.1564187144,1.007971,1.295381
"Alabama",2020-05-06,1.2060082652,1.062346,1.355919
"Alabama",2020-05-07,1.2789606743,1.153556,1.430338
"Alabama",2020-05-08,1.2905877338,1.139414,1.448629
"Alaska",2020-03-14,0,0,0
"Alaska",2020-03-15,2.0316123039,0.20741185,5.11733795
"Alaska",2020-03-16,1.7369579273,0.33020845,3.939397775
"Alaska",2020-03-17,3.2684812935,0.46678485,5.902808025
"Alaska",2020-03-18,1.8975469144,0.233343375,4.861378275
"Alaska",2020-03-19,3.4220122095,0.728851,7.1370826
"Alaska",2020-03-20,1.9704145186,0.53783,4.177855375
"Alaska",2020-03-21,2.0350610759,0.451183125,4.566753775
"Alaska",2020-03-22,2.8522766433,0.77618805,6.20179814999999
"Alaska",2020-03-23,3.2294674067,1.270674725,5.771261
"Alaska",2020-03-24,2.3973317274,0.9040396,4.538403
"Alaska",2020-03-25,2.2853176763,0.90238,4.366633
"Alaska",2020-03-26,2.2512359044,1.0147284,4.027613
"Alaska",2020-03-27,1.8746986246,0.840371,3.3827513
"Alaska",2020-03-28,2.5256388265,1.328441,4.1704967
"Alaska",2020-03-29,2.2163077347,1.20320865,3.53069045
"Alaska",2020-03-30,1.8514615373,1.015764,2.939527
"Alaska",2020-03-31,1.7845352223,0.994178,2.837364
"Alaska",2020-04-01,1.6124809169,0.899926875,2.55471485
"Alaska",2020-04-02,1.4725290889,0.8185124,2.33855
"Alaska",2020-04-03,1.576658844,0.8990984,2.397789925
"Alaska",2020-04-04,1.2886331613,0.712981,2.038751
"Alaska",2020-04-05,1.1570927858,0.62171055,1.869537025
"Alaska",2020-04-06,1.0542625784,0.5381686,1.700422025
"Alaska",2020-04-07,1.3177716212,0.735788,2.051980675
"Alaska",2020-04-08,1.2725561074,0.721865575,1.952008
"Alaska",2020-04-09,1.2362187829,0.697504925,1.889533375
"Alaska",2020-04-10,1.1221842109,0.624864,1.748800175
"Alaska",2020-04-11,1.1277470512,0.621588,1.7828106
"Alaska",2020-04-12,1.1036173681,0.625034775,1.732904025
"Alaska",2020-04-13,1.1102345735,0.62598865,1.737505475
"Alaska",2020-04-14,0.9629200801,0.49541405,1.555826825
